vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Gymnotocinclus	VTO_0036925	NA	NA	NA
Pseudotothyris obtusa	VTO_0036924	321168	Pseudotothyris obtusa	277161
Neosilurus ater	VTO_0036291	390484	Neosilurus ater	215102
Neosilurus	VTO_0036290	301283	Neosilurus	922060
Paraplotosus albilabris	VTO_0060470	NA	NA	NA
Paraplotosus muelleri	VTO_0060471	NA	NA	NA
Paraplotosus butleri	VTO_0060472	NA	NA	NA
Ancistrus piriformis	VTO_0059964	NA	NA	NA
Anodontiglanis dahli	VTO_0060474	NA	NA	NA
Tocantinsia	VTO_0060475	NA	NA	NA
Tocantinsia piresi	VTO_0060476	NA	NA	NA
Auchenipterus nuchalis	VTO_0060477	NA	NA	NA
Auchenipterus dentatus	VTO_0060478	NA	NA	NA
Auchenipterus brevior	VTO_0060479	NA	NA	NA
Sorubimichthys planiceps	VTO_0036330	337658	Sorubimichthys planiceps	618295
Pangasius bocourti	VTO_0036447	365578	Pangasius bocourti	168395
Clarias submarginatus	VTO_0035525	310926	Clarias submarginatus	370865
Euchilichthys dybowskii	VTO_0036727	390412	Euchilichthys dybowskii	531342
Ancistrus fulvus	VTO_0059965	NA	NA	NA
Euchilichthys	VTO_0036725	390411	Euchilichthys	531338
Pangasius larnaudii	VTO_0036445	365580	Pangasius larnaudii	334566
Atopochilus	VTO_0036723	390409	Atopochilus	9893
Chiloglanis asymetricaudalis	VTO_0036722	577562	Chiloglanis asymetricaudalis	90751
Chiloglanis	VTO_0036720	392958	Chiloglanis	56128
Panaqolus maccus	VTO_0060074	NA	NA	NA
Panaqolus dentex	VTO_0060075	NA	NA	NA
Megalancistrus sp. (Schaefer 1987)	VTO_0060076	NA	NA	NA
Megalancistrus barrae	VTO_0060077	NA	NA	NA
Panaqolus nocturnus	VTO_0060070	NA	NA	NA
Panaqolus purusiensis	VTO_0060071	NA	NA	NA
Panaqolus gnomus	VTO_0060072	NA	NA	NA
Panaqolus albomaculatus	VTO_0060073	NA	NA	NA
Rhizosomichthys totae	VTO_0061730	NA	NA	NA
Microcambeva	VTO_0061731	NA	NA	NA
Clarias theodorae	VTO_0035526	310927	Clarias theodorae	370864
Glyptothorax sp. (Chen 1994)	VTO_0061044	NA	NA	NA
Ancistrus martini	VTO_0059962	NA	NA	NA
Hypostomus taphorni	VTO_0060214	NA	NA	NA
Hypostomus fluviatilis	VTO_0060215	NA	NA	NA
Hypostomus plecostomus 2 (Armbruster 2004)	VTO_0060216	NA	NA	NA
Glyptothorax stolickae	VTO_0061045	NA	NA	NA
Hypostomus rhantos	VTO_0060210	NA	NA	NA
Hypostomus francisci	VTO_0060211	NA	NA	NA
Hypostomus variostictus	VTO_0060212	NA	NA	NA
