VTO_name	VTO_id
Osteopilus ocellatus	VTO_0082051
Bathygobius casamancus	VTO_0078485
Atelopus lynchi	VTO_0081509
Atelopus galactogaster	VTO_0081508
Umbrina wintersteeni	VTO_0074121
Atelopus longibrachius	VTO_0081505
Atelopus elegans	VTO_0081504
Atelopus quimbaya	VTO_0081507
Atelopus carrikeri	VTO_0081506
Atelopus mittermeieri	VTO_0081501
Atelopus mindoensis	VTO_0081500
Atelopus nicefori	VTO_0081503
Atelopus pachydermus	VTO_0081502
Lycenchelys imamurai	VTO_0076094
Carniadactylus	VTO_9015400
Lignimus montis	VTO_9015402
Pliosaurus rossicus	VTO_9015403
Liparis newmani	VTO_0072020
Liparis micraspidophorus	VTO_0072021
Gambelia corona	VTO_9015406
Pliosaurus andrewsi	VTO_9015407
Limnocyon potens	VTO_9015408
Liparis frenatus	VTO_0072028
Liparis latifrons	VTO_0072029
Hyloscirtus armatus	VTO_0006595
Rineloricaria eigenmanni	VTO_0059834
Rineloricaria wolfei	VTO_0059835
Rineloricaria castroi	VTO_0059836
Rineloricaria pareiacantha	VTO_0059837
Rineloricaria stellata	VTO_0059830
Rineloricaria baliola	VTO_0059831
Rineloricaria daraha	VTO_0059832
Rineloricaria jubata	VTO_0059833
Procolina teresae	VTO_9013802
Thelodus parvidens	VTO_9013803
Procolina	VTO_9013800
Coelolepidae	VTO_9013801
Rineloricaria stewarti	VTO_0059838
Rineloricaria magdalenae	VTO_0059839
Pamelina	VTO_9013804
Thelodus calvus	VTO_9013805
Trichomycterus cachiaensis	VTO_0061518
Pseudechidna	VTO_0034086
Trichomycterus rubiginosus	VTO_0061519
Pantosaurus	VTO_9012153
Leptorycteropus	VTO_9014946
Trichomycterus pantherinus	VTO_0061516
Trichomycterus brunoi	VTO_0061517
Gyropeltus	VTO_9012152
Cichlasoma alborum	VTO_0073779
Cichlasoma ericymba	VTO_0073778
Dimidiochromis dimidiatus	VTO_0073773
Orthochromis luongoensis	VTO_0073772
Orthochromis kalungwishiensis	VTO_0073771
Aulonocara saulosi	VTO_0073770
Cichlasoma mayorum	VTO_0073777
Cichlasoma sanctifranciscense	VTO_0073776
Buccochromis spectabilis	VTO_0073775
Buccochromis rhoadesii	VTO_0073774
Uranoscopus guttatus	VTO_0079119
Uranoscopus dollfusi	VTO_0079118
Pogonophryne ventrimaculata	VTO_0079111
Pogonophryne bellingshausenensis	VTO_0079110
Pogonophryne platypogon	VTO_0079113
Pogonophryne dewitti	VTO_0079112
Artedidraco glareobarbatus	VTO_0079115
Pogonophryne permitini	VTO_0079114
Uranoscopus marmoratus	VTO_0079117
Artedidraco loennbergi	VTO_0079116
Philautus jerdonii	VTO_0083257
Philautus cinerascens	VTO_0083256
Philautus dubius	VTO_0083254
Philautus sanctisilvaticus	VTO_0083253
Dasyatis margaritella	VTO_0001279
Philautus maosonensis	VTO_0083252
Bathycongrus parapolyporus	VTO_0067327
Pseudoginglymostoma	VTO_0000503
Sinemys brevispinus	VTO_9016193
Leptacodon munusculum	VTO_9016192
Leptacodon packi	VTO_9016191
Leptacodon proserpinae	VTO_9016190
Lepoides lepoides	VTO_9016197
Leptacodon catulus	VTO_9016196
Catonyx tarijensis	VTO_9016195
Leptacodon minutulus	VTO_9016194
Ballerstedtia bueckebergensis	VTO_9006215
Tomognathus	VTO_9016199
Tomognathus mordax	VTO_9016198
Rana asiatica	VTO_0002817
Gobiobotia homalopteroidea	VTO_0064520
Venaticosuchus	VTO_9006217
Lagosuchidae	VTO_9006216
Endotherioidea	VTO_9024189
Ninjemys	VTO_9024188
Hoplophorus	VTO_9024185
Muellerodus	VTO_9024184
Conodontophorida	VTO_9024187
Lomaphorus	VTO_9024186
Problematoconites	VTO_9024181
Prooneotodus	VTO_9024180
Nogamiconus	VTO_9024183
Proacodus	VTO_9024182
Rhombophryne mangabensis	VTO_0084069
Rhombophryne guentherpetersi	VTO_0084068
Opluridae	VTO_9018979
Parhoplophryne usambarica	VTO_0084065
Parhoplophryne	VTO_0084064
Phrynomantis somalicus	VTO_0084067
Phrynomantis affinis	VTO_0084066
Stereocyclops parkeri	VTO_0084061
Corytophanidae	VTO_9018972
Hoplophryninae	VTO_0084063
Gastrophrynoides borneensis	VTO_0084062
Chlopsis dentatus	VTO_0067288
Chlopsis bicollaris	VTO_0067289
Chlopsis longidens	VTO_0067286
Chlopsis kazuko	VTO_0067287
Chlopsis slusserorum	VTO_0067284
Chlopsis apterus	VTO_0067285
Anguilla huangi	VTO_0067282
Anguilla nigricans	VTO_0067280
Anguilla breviceps	VTO_0067281
Cardiolophus radinskyi	VTO_9007504
Krebsotherium lusitanicum	VTO_9017923
Massaliasuchus affuvelensis	VTO_9004802
Phosphatosaurinae	VTO_9004800
Bouliachelys	VTO_9005456
Deltodus contortus	VTO_9005457
Mesodermochelys	VTO_9005454
Mesodermochelys undulatus	VTO_9005455
Anomalochelys angulata	VTO_9005452
Pandermochelys	VTO_9005453
Vinciguerria merklini	VTO_9005450
Bouliachelys suteri	VTO_9005451
Plioviverrops	VTO_9018827
Neosaimiri	VTO_9005458
Cebupithecia	VTO_9005459
Wanolestes	VTO_9018826
Qinornis paleocenica	VTO_9018821
Robertia	VTO_9018399
Lamna (Odontaspis) gracilis	VTO_9018398
Pachycrocuta	VTO_9018823
Paracoracias occidentalis	VTO_9012999
Oxyacodon marshater	VTO_9012998
Ctenacanthus abnormis	VTO_9018393
Ctenacanthus acutus	VTO_9018392
Australosomus kochi	VTO_9018391
Hypertragulus chadronensis	VTO_9012994
Luoxiongichthys	VTO_9012993
Lamna acuminata	VTO_9018396
Luoxiongichthys hyperdorsalis	VTO_9012991
Helmolepis gracilis	VTO_9018394
Cynomyoides vatis	VTO_9010591
Lystrosaurus jorisseni	VTO_9010590
Lystrosaurus jeppei	VTO_9010593
Lystrosaurus putterilli	VTO_9010592
Cricetodon aliveriensis	VTO_9010595
Galerix uenayae	VTO_9010594
Prozostrodon	VTO_9010597
Stereospondylomorpha	VTO_9010598
Pronycticebus neglectus	VTO_9013124
Heothema	VTO_9000390
Ischyodus emarginatus	VTO_9011278
Notosuchus	VTO_9007509
Cirricaecula macdowelli	VTO_0067073
